,demand,pv,buyPrice,sellPrice,SOC,posDeltaSOC,negDeltaSOC,posEInGrid,posEInPV,negEOutLocal,negEOutExport,posNetLoad,negNetLoad
2023-01-01 00:00:00,69.44,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.44,0.0
2023-01-01 00:30:00,71.295,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.295,0.0
2023-01-01 01:00:00,70.525,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.525,0.0
2023-01-01 01:30:00,69.505,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.505,0.0
2023-01-01 02:00:00,69.505,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.505,0.0
2023-01-01 02:30:00,70.015,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.015,0.0
2023-01-01 03:00:00,69.25,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.25,0.0
2023-01-01 03:30:00,68.99,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99,0.0
2023-01-01 04:00:00,63.81,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.81,0.0
2023-01-01 04:30:00,51.905,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.905,0.0
2023-01-01 05:00:00,53.885,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.885,0.0
2023-01-01 05:30:00,53.505,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.505,0.0
2023-01-01 06:00:00,53.055,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.055,0.0
2023-01-01 06:30:00,52.995,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.995,0.0
2023-01-01 07:00:00,110.72,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.72,0.0
2023-01-01 07:30:00,142.205,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.205,0.0
2023-01-01 08:00:00,182.655,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.655,0.0
2023-01-01 08:30:00,192.96,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.96,0.0
2023-01-01 09:00:00,66.625,14.056175,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.568825000000004,0.0
2023-01-01 09:30:00,63.81,14.056175,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.753825000000006,0.0
2023-01-01 10:00:00,108.605,48.7878,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81720000000001,0.0
2023-01-01 10:30:00,103.62,48.7878,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.83220000000001,0.0
2023-01-01 11:00:00,103.165,69.840675,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.324325,0.0
2023-01-01 11:30:00,103.105,69.840675,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.264325,0.0
2023-01-01 12:00:00,84.865,49.1226,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.742399999999996,0.0
2023-01-01 12:30:00,52.605,49.1226,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4823999999999984,0.0
2023-01-01 13:00:00,52.225,34.348,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.877000000000002,0.0
2023-01-01 13:30:00,52.48,34.348,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.131999999999998,0.0
2023-01-01 14:00:00,52.545,14.18715,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.35785,0.0
2023-01-01 14:30:00,52.99,14.18715,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.80285,0.0
2023-01-01 15:00:00,52.8,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.8,0.0
2023-01-01 15:30:00,57.665,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.665,0.0
2023-01-01 16:00:00,110.4,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.4,0.0
2023-01-01 16:30:00,120.32,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.32,0.0
2023-01-01 17:00:00,109.44,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.44,0.0
2023-01-01 17:30:00,77.315,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.315,0.0
2023-01-01 18:00:00,76.8,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0.0
2023-01-01 18:30:00,76.8,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0.0
2023-01-01 19:00:00,77.12,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.12,0.0
2023-01-01 19:30:00,76.67,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.67,0.0
